 X,Y,phi
-0.831763672,4.605778273,2.66E-04
-0.945371714,4.90980302,0
-0.868536049,4.815012145,9.69E-05
-0.791700384,4.72022127,1.86E-04
-0.828287703,4.930927287,0
-0.751637095,4.834664267,9.69E-05
-0.711573806,4.949107265,0
1.857801108,-4.642051383,0
1.967719201,-4.596521844,0
2.077074177,-4.548160382,0
1.761634578,-4.565065647,9.65E-05
1.871834229,-4.520952071,9.65E-05
1.981470763,-4.47400657,9.65E-05
1.775949257,-4.445382297,1.85E-04
1.885867349,-4.399852759,1.85E-04
1.790263936,-4.325698947,2.65E-04
-0.641348886,4.850487814,9.69E-05
-0.571123966,4.751868364,1.86E-04
-0.500899046,4.653248913,2.66E-04
-0.592590187,4.96474741,0
-0.522710727,4.864666774,9.69E-05
-0.452831268,4.764586138,1.86E-04
-0.474297489,4.977465184,0
-0.404763491,4.875923363,9.69E-05
-0.356695713,4.987260588,0
2.184321099,-4.497643263,0
2.290710922,-4.444388352,0
2.396243645,-4.388395651,0
2.082844473,-4.427855725,9.64E-05
2.189662845,-4.37596971,9.64E-05
2.295624118,-4.321345905,9.64E-05
2.088614769,-4.307551068,1.85E-04
2.195004591,-4.254296158,1.85E-04
2.094385065,-4.187246411,2.65E-04
-0.293650981,4.883849078,9.70E-05
-0.23060625,4.780437568,1.86E-04
-0.167561518,4.677026059,2.66E-04
-0.236784358,4.994376778,0
-0.174246018,4.889530409,9.70E-05
-0.111707678,4.784684039,1.86E-04
-0.117885787,4.998623249,0
-0.055853839,4.89234202,9.70E-05
0,5,0
2.499702459,-4.330303561,0
2.602022254,-4.269594459,0
2.703203031,-4.206268343,0
2.393416959,-4.268163234,9.63E-05
2.496306263,-4.208762638,9.63E-05
2.598056549,-4.146745029,9.63E-05
2.390590273,-4.147930817,1.84E-04
2.492910068,-4.087221715,1.84E-04
2.387763587,-4.027698401,2.64E-04
0.055494714,4.892320019,9.70E-05
0.110989429,4.784640039,1.86E-04
0.166484143,4.676960058,2.66E-04
0.117884855,4.998623271,0
0.173885954,4.889508453,9.70E-05
0.229887053,4.780393636,1.86E-04
0.23678248,4.994376868,0
0.293289963,4.883827213,9.70E-05
0.356692873,4.987260791,0
2.802337854,-4.140885377,0
2.900065827,-4.073031675,0
2.99638695,-4.00270724,0
2.691759023,-4.086773156,9.62E-05
2.790190422,-4.020154822,9.62E-05
2.88721497,-3.951065754,9.62E-05
2.680315016,-3.967277969,1.84E-04
2.778042989,-3.899424268,1.84E-04
2.668871009,-3.847782781,2.64E-04
0.404338482,4.875848214,9.70E-05
0.451984091,4.764435638,1.86E-04
0.4996297,4.653023062,2.66E-04
0.474296005,4.977465326,0
0.522287083,4.864591531,9.70E-05
0.570278162,4.751717735,1.86E-04
0.592590076,4.964747423,0
0.640926623,4.850412408,9.70E-05
0.711575084,4.949107081,0
3.090684124,-3.930354781,0
3.183322609,-3.855702024,0
3.274302405,-3.778748967,0
2.97635217,-3.884537561,9.61E-05
3.06982,-3.811034953,9.61E-05
3.161629141,-3.735232047,9.61E-05
2.956317391,-3.766367883,1.84E-04
3.048955876,-3.691715126,1.84E-04
2.936282611,-3.648198205,2.64E-04
0.75113183,4.834512771,9.71E-05
0.790688577,4.719918462,1.86E-04
0.830245323,4.605324152,2.66E-04
0.828290726,4.93092678,0
0.868032533,4.814860281,9.71E-05
0.90777434,4.698793782,1.86E-04
0.94537649,4.9098021,0
0.985303357,4.792263411,9.71E-05
1.062832374,4.885733041,0
3.3632718,-3.699784833,0
3.450348514,-3.618713599,0
3.535532546,-3.535535266,0
3.245757465,-3.662383435,9.61E-05
3.333780519,-3.582365751,9.61E-05
3.419910892,-3.500240968,9.61E-05
3.217212524,-3.546017904,1.84E-04
3.304289238,-3.46494667,1.84E-04
3.188667584,-3.429652372,2.64E-04
1.09409409,4.768524519,9.72E-05
1.125355805,4.651315997,1.86E-04
1.156617521,4.534107476,2.67E-04
1.17805759,4.859246001,0
1.209345638,4.740569479,9.72E-05
1.240633687,4.621892957,1.86E-04
1.293335471,4.82982296,0
1.324649852,4.709678438,9.72E-05
1.408666018,4.797463919,0
3.618710943,-3.450351299,0
3.699782244,-3.363274648,0
3.778746448,-3.274305313,0
3.498623249,-3.421436177,9.62E-05
3.580748098,-3.335305868,9.62E-05
3.66076585,-3.247282875,9.63E-05
3.461713953,-3.307337087,1.84E-04
3.542785253,-3.220260436,1.84E-04
3.424804656,-3.193237998,2.64E-04
1.431478397,4.678233027,9.73E-05
1.454290775,4.559002136,1.86E-04
1.477103154,4.439771244,2.67E-04
1.521810992,4.762790137,0
1.544493798,4.642110092,9.72E-05
1.567176604,4.521430047,1.86E-04
1.63469682,4.725218049,0
1.657250054,4.60308885,9.72E-05
1.747323504,4.684747653,0
3.855699573,-3.183325577,0
3.930352402,-3.09068715,0
4.002704934,-2.99639003,0
3.733675859,-3.163025162,9.63E-05
3.809478836,-3.07121608,9.64E-05
3.882981517,-2.977748307,9.64E-05
3.688605271,-3.051745011,1.85E-04
3.7632581,-2.959106583,1.85E-04
3.643534683,-2.94046486,2.65E-04
1.761617447,4.564114747,9.73E-05
1.775911391,4.443481841,1.86E-04
1.790205334,4.322848936,2.67E-04
1.857804682,4.642049953,0
1.871817065,4.520001085,9.73E-05
1.885829448,4.397952218,1.86E-04
1.967722739,4.59652033,0
1.981453563,4.473055501,9.73E-05
2.077077677,4.548158784,0
4.073029443,-2.900068962,0
4.140883219,-2.802341041,0
4.206266263,-2.703206268,0
3.949717481,-2.888570609,9.64E-05
4.018806624,-2.791546115,9.65E-05
4.085425034,-2.693114767,9.65E-05
3.896730029,-2.780751188,1.85E-04
3.964583805,-2.683023267,1.85E-04
3.843742576,-2.672931766,2.65E-04
2.396247023,4.388393807,0
2.290714343,4.444386589,0
2.184324562,4.497641581,0
2.29561737,4.320247121,9.73E-05
2.18965614,4.374871008,9.73E-05
2.082837806,4.426757106,9.73E-05
2.194987718,4.252100435,1.86E-04
2.088597936,4.305355427,1.86E-04
2.094358065,4.183953748,2.67E-04
4.269592456,-2.60202554,0
4.330301637,-2.499705792,0
4.388393807,-2.396247023,0
4.14562898,-2.599497241,9.65E-05
4.207646667,-2.497747003,9.65E-05
4.267047342,-2.394857744,9.66E-05
4.084991696,-2.495788215,1.85E-04
4.145700878,-2.393468466,1.85E-04
4.024354413,-2.392079188,2.65E-04
2.703206268,4.206266263,0
2.60202554,4.269592456,0
2.499705792,4.330301637,0
2.598087264,4.145436178,9.73E-05
2.496337026,4.207453865,9.73E-05
2.393447767,4.266854541,9.73E-05
2.492968261,4.084606094,1.86E-04
2.390648512,4.145315275,1.86E-04
2.387849257,4.023776009,2.67E-04
4.444386589,-2.290714343,0
4.497641581,-2.184324562,0
4.548158784,-2.077077677,0
4.320413347,-2.297211111,9.65E-05
4.375037234,-2.19124988,9.66E-05
4.426923331,-2.084431547,9.66E-05
4.252432887,-2.198175199,1.85E-04
4.305687879,-2.091785417,1.85E-04
4.184452426,-2.099139287,2.65E-04
2.99639003,4.002704934,0
2.900068962,4.073029443,0
2.802341041,4.140883219,0
2.887299341,3.949490442,9.72E-05
2.790274847,4.018579585,9.72E-05
2.691843499,4.085197995,9.73E-05
2.778208652,3.896275951,1.86E-04
2.680480731,3.964129727,1.86E-04
2.669117963,3.843061459,2.67E-04
4.59652033,-1.967722739,0
4.642049953,-1.857804682,0
4.684747653,-1.747323504,0
4.473192918,-1.983175724,9.66E-05
4.520138503,-1.873539227,9.66E-05
4.564252164,-1.763339609,9.67E-05
4.398227053,-1.889273771,1.85E-04
4.443756676,-1.779355714,1.85E-04
4.323261187,-1.795371819,2.65E-04
3.274305313,3.778746448,0
3.183325577,3.855699573,0
3.09068715,3.930352402,0
3.161786389,3.733382915,9.72E-05
3.069977307,3.809185892,9.72E-05
2.976509533,3.882688572,9.73E-05
3.049267464,3.688019382,1.86E-04
2.956629036,3.762672211,1.86E-04
2.936748539,3.642655849,2.67E-04
4.725218049,-1.63469682,0
4.762790137,-1.521810992,0
4.797463919,-1.408666018,0
4.603193929,-1.658989971,9.67E-05
4.642215171,-1.546233715,9.67E-05
4.678338106,-1.433218314,9.67E-05
4.521640206,-1.570656438,1.85E-04
4.559212294,-1.45777061,1.85E-04
4.440086482,-1.482322906,2.65E-04
3.535535266,3.535532546,0
3.450351299,3.618710943,0
3.363274648,3.699782244,0
3.420151116,3.498212177,9.73E-05
3.334020807,3.580337026,9.73E-05
3.245997814,3.660354778,9.73E-05
3.304766965,3.460891808,1.86E-04
3.217690314,3.541963109,1.86E-04
3.189382814,3.42357144,2.67E-04
4.82982296,-1.293335471,0
4.859246001,-1.17805759,0
4.885733041,-1.062832374,0
4.709730999,-1.326350461,9.67E-05
4.74062204,-1.211046247,9.68E-05
4.76857708,-1.095794699,9.68E-05
4.621998079,-1.244034905,1.85E-04
4.65142112,-1.128757024,1.85E-04
4.53426516,-1.161719348,2.65E-04
3.778748967,3.274302405,0
3.699784833,3.3632718,0
3.618713599,3.450348514,0
3.661073231,3.245171632,9.73E-05
3.581055547,3.333194686,9.73E-05
3.498930764,3.419325059,9.73E-05
3.543397495,3.216040858,1.86E-04
3.462326262,3.303117572,1.86E-04
3.425721759,3.186910085,2.67E-04
4.9098021,-0.94537649,0
4.93092678,-0.828290726,0
4.949107081,-0.711575084,0
4.792281327,-0.986984545,9.68E-05
4.814878196,-0.869713721,9.68E-05
4.834530687,-0.752813018,9.69E-05
4.698829613,-0.911136716,1.85E-04
4.719954293,-0.794050952,1.85E-04
4.605377899,-0.835288886,2.66E-04
4.00270724,2.99638695,0
3.930354781,3.090684124,0
3.855702024,3.183322609,0
3.883332335,2.975547734,9.73E-05
3.809829727,3.069015563,9.73E-05
3.73402682,3.160824704,9.73E-05
3.76395743,2.954708517,1.86E-04
3.689304673,3.047347002,1.86E-04
3.644582526,2.933869301,2.67E-04
4.964747423,-0.592590076,0
4.977465326,-0.474296005,0
4.987260791,-0.356692873,0
4.850400115,-0.642613381,9.69E-05
4.864579238,-0.523973841,9.69E-05
4.875835922,-0.40602524,9.69E-05
4.751693149,-0.573651677,1.85E-04
4.764411053,-0.455357607,1.86E-04
4.652986184,-0.504689974,2.66E-04
4.206268343,2.703203031,0
4.140885377,2.802337854,0
4.073031675,2.900065827,0
4.085809904,2.690736436,9.74E-05
4.01919157,2.789167835,9.74E-05
3.950102501,2.886192383,9.74E-05
3.965351464,2.678269842,1.86E-04
3.897497763,2.775997815,1.86E-04
3.844893024,2.665803248,2.67E-04
4.994376868,-0.23678248,0
4.998623271,-0.117884855,0
5,0,0
4.883772167,-0.294993067,9.70E-05
4.889453408,-0.175589058,9.70E-05
4.892264974,-0.057197818,9.70E-05
4.780283544,-0.23329326,1.86E-04
4.784529947,-0.114395636,1.86E-04
4.676794921,-0.171593454,2.66E-04
4.388395651,2.396243645,0
4.330303561,2.499702459,0
4.269594459,2.602022254,0
4.267480205,2.392230136,9.73E-05
4.208079609,2.49511944,9.74E-05
4.146062,2.596869726,9.74E-05
4.14656476,2.388216627,1.86E-04
4.085855657,2.490536422,1.86E-04
4.025649314,2.384203117,2.67E-04
4.998623249,0.117885787,0
4.994376778,0.236784358,0
4.987260588,0.356695713,0
4.892452482,0.054089664,9.69E-05
4.889640871,0.172481843,9.69E-05
4.88395954,0.291886807,9.70E-05
4.784904964,0.108179329,1.86E-04
4.780658493,0.2270779,1.86E-04
4.677357446,0.162268993,2.66E-04
4.548160382,2.077074177,0
4.497643263,2.184321099,0
4.444388352,2.290710922,0
4.427416698,2.081580392,9.73E-05
4.375530683,2.188398765,9.73E-05
4.320906877,2.294360038,9.73E-05
