X,Y,plate.w,,,
4.145700878,-2.393468466,-2.18E-07,,,
4.024354413,-2.392079188,-3.35E-07,,,
2.703206268,4.206266263,0,,,
2.60202554,4.269592456,0,,,
2.598087264,4.145436178,-1.13E-07,,,
2.496337026,4.207453865,-1.14E-07,,,
2.499705792,4.330301637,0,,,
2.393447767,4.266854541,-1.14E-07,,,
2.492968261,4.084606094,-2.31E-07,,,
2.390648512,4.145315275,-2.32E-07,,,
2.387849257,4.023776009,-3.54E-07,,,
4.444386589,-2.290714343,0,,,
4.320413347,-2.297211111,-1.06E-07,,,
4.375037234,-2.19124988,-1.06E-07,,,
4.497641581,-2.184324562,0,,,
4.426923331,-2.084431547,-1.06E-07,,,
4.548158784,-2.077077677,0,,,
4.252432887,-2.198175199,-2.18E-07,,,
4.305687879,-2.091785417,-2.17E-07,,,
4.184452426,-2.099139287,-3.33E-07,,,
2.99639003,4.002704934,0,,,
2.900068962,4.073029443,0,,,
2.887299341,3.949490442,-1.13E-07,,,
2.790274847,4.018579585,-1.13E-07,,,
2.802341041,4.140883219,0,,,
2.691843499,4.085197995,-1.13E-07,,,
2.778208652,3.896275951,-2.30E-07,,,
2.680480731,3.964129727,-2.30E-07,,,
2.669117963,3.843061459,-3.51E-07,,,
4.59652033,-1.967722739,0,,,
4.473192918,-1.983175724,-1.06E-07,,,
4.520138503,-1.873539227,-1.06E-07,,,
4.642049953,-1.857804682,0,,,
4.564252164,-1.763339609,-1.06E-07,,,
4.684747653,-1.747323504,0,,,
4.398227053,-1.889273771,-2.16E-07,,,
4.443756676,-1.779355714,-2.16E-07,,,
