X,Y,phi
-4.803322799,-3.397033246,1.62E-04
-4.705135314,-3.460010965,2.29E-04
-4.704984198,-3.33629061,2.34E-04
-4.508215222,-3.462017423,3.46E-04
-4.60659971,-3.399154016,2.94E-04
-4.606750826,-3.522874372,2.87E-04
-4.803322799,-3.273576456,1.65E-04
-4.901661399,-3.210862302,8.71E-05
-5,-3.148148148,0
-4.901661399,-3.334319092,8.58E-05
-5,-3.271604938,2.09E-21
-5,-3.395061728,2.97E-20
-4.114376853,-3.714573229,4.84E-04
-4.21286148,-3.651342429,4.59E-04
-4.311346107,-3.58811163,4.28E-04
-4.212088672,-3.775689497,4.43E-04
-4.310573299,-3.712458697,4.15E-04
-4.309800491,-3.836805765,3.99E-04
-4.100999139,-3.840168754,4.68E-04
-4.198710958,-3.901285022,4.27E-04
-4.087621424,-3.965764279,4.47E-04
-3.838441555,-3.827605355,5.35E-04
-3.930419988,-3.78992798,5.22E-04
-4.022398421,-3.752250604,5.05E-04
-3.917042273,-3.915523505,4.99E-04
-4.009020706,-3.877846129,4.85E-04
-3.995642992,-4.003441654,4.61E-04
-3.805526209,-4.300808501,4.06E-04
-3.746519854,-4.197130352,4.52E-04
-3.687513498,-4.093452203,4.94E-04
-3.875429924,-4.196432885,4.32E-04
-3.816423569,-4.092754737,4.74E-04
-3.945333639,-4.09205727,4.50E-04
-3.788132203,-3.916220971,5.26E-04
-3.866732921,-4.004139121,4.89E-04
-3.73782285,-4.004836587,5.12E-04
-3.6324222,-4.600520553,2.84E-04
-3.570604935,-4.49963495,3.43E-04
-3.508787669,-4.398749347,3.97E-04
-3.689186567,-4.501547384,3.33E-04
-3.627369301,-4.400661781,3.86E-04
-3.745950933,-4.402574215,3.73E-04
-3.568362946,-4.296983633,4.36E-04
-3.627938222,-4.195217918,4.68E-04
-3.686944578,-4.298896067,4.22E-04
-3.455393414,-4.900036879,8.58E-05
-3.392268309,-4.800073757,1.65E-04
-3.329143204,-4.700110636,2.37E-04
-3.513967063,-4.800505597,1.61E-04
-3.450841958,-4.700542476,2.32E-04
-3.572540712,-4.700974316,2.27E-04
-3.448906181,-4.49920311,3.52E-04
-3.510723446,-4.600088713,2.92E-04
-3.389024692,-4.599656873,2.98E-04
-3.268811519,-4.800073757,1.68E-04
-3.331936623,-4.900036879,8.71E-05
-3.395061728,-5,1.92E-21
-3.208479833,-4.900036879,8.85E-05
-3.271604938,-5,3.06E-20
-3.148148148,-5,0
-4.3120007,-3.463287521,4.40E-04
-4.213516073,-3.526518321,4.73E-04
-4.115031446,-3.58974912,5.01E-04
-4.214170666,-3.401694212,4.85E-04
-4.115686039,-3.464925012,5.15E-04
-4.116340632,-3.340100903,5.27E-04
-4.606789913,-3.275153645,2.99E-04
-4.508405425,-3.338017052,3.53E-04
-4.410020937,-3.400880458,4.00E-04
-4.508595628,-3.21401668,3.59E-04
-4.41021114,-3.276880087,4.08E-04
-4.410401344,-3.152879715,4.14E-04
-4.214360869,-3.27769384,4.95E-04
-4.312381106,-3.215286778,4.58E-04
-4.312190903,-3.339287149,4.49E-04
-4.70464643,-2.965463883,2.43E-04
-4.80309762,-2.902901848,1.71E-04
-4.90154881,-2.840339813,8.98E-05
-5,-2.777777778,0
-4.80309762,-3.026358638,1.69E-04
-4.90154881,-2.963796603,8.91E-05
-5,-2.901234568,2.07E-21
-4.90154881,-3.087253393,8.83E-05
-5,-3.024691358,3.09E-20
-4.803210209,-3.149967547,1.67E-04
-4.704871609,-3.212681701,2.37E-04
-4.704759019,-3.089072792,2.41E-04
-4.508483039,-3.090407771,3.64E-04
-4.606564735,-3.027935827,3.07E-04
-4.606677324,-3.151544736,3.03E-04
-3.818512424,-3.519602701,5.93E-04
-3.917788493,-3.459768768,5.76E-04
-4.017064563,-3.399934835,5.54E-04
-3.9171339,-3.584592877,5.59E-04
-4.01640997,-3.524758944,5.40E-04
-4.015755377,-3.649583053,5.23E-04
-3.831798511,-3.724937804,5.57E-04
-3.825155468,-3.622270252,5.76E-04
-3.923776944,-3.687260428,5.42E-04
-3.729371112,-3.800883118,5.63E-04
-3.67906176,-3.889498734,5.52E-04
-3.628752408,-3.97811435,5.37E-04
-3.62030067,-3.774160881,5.88E-04
-3.569991317,-3.862776497,5.75E-04
-3.511230227,-3.747438644,6.10E-04
-3.722728069,-3.698215566,5.84E-04
-3.613657626,-3.671493329,6.09E-04
-3.716085025,-3.595548015,6.03E-04
-3.448609574,-4.295647956,4.48E-04
-3.388431479,-4.192546564,4.95E-04
-3.328253384,-4.089445172,5.37E-04
-3.508184851,-4.193882241,4.83E-04
-3.448006756,-4.090780849,5.25E-04
-3.567760127,-4.092116526,5.11E-04
-3.389245665,-3.975442996,5.67E-04
-3.450237946,-3.86144082,5.92E-04
-3.508999036,-3.976778673,5.53E-04
-3.267363069,-4.599919219,3.03E-04
-3.205582935,-4.499727803,3.64E-04
-3.143802801,-4.399536386,4.20E-04
-3.327244558,-4.499465456,3.59E-04
-3.265464423,-4.39927404,4.14E-04
-3.387126046,-4.399011694,4.06E-04
-3.266769856,-4.19280891,5.04E-04
-3.326947951,-4.295910302,4.57E-04
-3.205286329,-4.296172648,4.65E-04
-3.085690215,-4.900218877,8.94E-05
-3.023232281,-4.800437754,1.71E-04
-2.960774348,-4.700656631,2.46E-04
